"lower_95","upper_95","point_val","tdist_df","true_val","regcoeff"
0.270384086204582,0.379543637081109,0.324963861642845,3,0.3,"Gluc_Chol"
-0.506884769551536,0.53111763715738,0.0121164338029218,3,0,"Gluc_BMI"
-0.0648142471099666,0.233172302032616,0.0841790274613245,3,0,"Gluc_BP"
0.261921430374354,0.352665796940722,0.307293613657538,9,0.3,"Gluc_Chol"
-0.307241330217794,0.511361707160723,0.102060188471465,9,0,"Gluc_BMI"
-0.123893597688844,0.125911606133746,0.00100900422245103,9,0,"Gluc_BP"
0.237046021612401,0.33296150919094,0.285003765401671,27,0.3,"Gluc_Chol"
-0.288511146207553,0.60578325738396,0.158636055588203,27,0,"Gluc_BMI"
-0.151932311399081,0.107207058771863,-0.0223626263136087,27,0,"Gluc_BP"
0.239548727719313,0.336497326576634,0.288023027147974,81,0.3,"Gluc_Chol"
-0.571015896667556,0.326503069228843,-0.122256413719357,81,0,"Gluc_BMI"
-0.07571588630881,0.196973364613295,0.0606287391522427,81,0,"Gluc_BP"
0.272349357727992,0.358084763087808,0.3152170604079,243,0.3,"Gluc_Chol"
-0.233980648036322,0.590994025633232,0.178506688798455,243,0,"Gluc_BMI"
-0.153324780073125,0.0858652616537036,-0.0337297592097106,243,0,"Gluc_BP"
0.26271681184001,0.351608875654771,0.30716284374739,729,0.3,"Gluc_Chol"
-0.112438453346579,0.719651497536575,0.303606522094998,729,0,"Gluc_BMI"
-0.151232092323435,0.101524154816931,-0.024853968753252,729,0,"Gluc_BP"
0.232626333751141,0.329846565644815,0.281236449697978,2187,0.3,"Gluc_Chol"
-0.448679650909132,0.426053266965344,-0.0113131919718941,2187,0,"Gluc_BMI"
-0.132076506532049,0.126920656344488,-0.00257792509378034,2187,0,"Gluc_BP"
0.27345099590127,0.362833715828846,0.318142355865058,3,0.3,"Gluc_Chol"
-0.881364958054359,-0.0703209943817847,-0.475842976218072,3,0,"Gluc_BMI"
-0.132772447737015,0.106790278152572,-0.0129910847922213,3,0,"Gluc_BP"
0.248676763389838,0.342432380498496,0.295554571944167,9,0.3,"Gluc_Chol"
-0.0331956818085747,0.806671801195024,0.386738059693225,9,0,"Gluc_BMI"
-0.192978796623489,0.0624857167509011,-0.0652465399362941,9,0,"Gluc_BP"
0.231257413760088,0.328559876045914,0.279908644903001,27,0.3,"Gluc_Chol"
-0.15150883723859,0.678543794582704,0.263517478672057,27,0,"Gluc_BMI"
-0.195427836237863,0.0577111266660718,-0.0688583547858959,27,0,"Gluc_BP"
0.245661850705916,0.336062627340767,0.290862239023342,81,0.3,"Gluc_Chol"
-0.272403083219221,0.582716091614372,0.155156504197576,81,0,"Gluc_BMI"
-0.217672446541921,0.0396502664835707,-0.0890110900291751,81,0,"Gluc_BP"
0.194376911893577,0.292775020314126,0.243575966103851,243,0.3,"Gluc_Chol"
-0.336503943536015,0.475164529987737,0.0693302932258613,243,0,"Gluc_BMI"
-0.252247780396017,-0.00140151089478568,-0.126824645645401,243,0,"Gluc_BP"
0.258805079817031,0.347553922066618,0.303179500941825,729,0.3,"Gluc_Chol"
-0.275123524191943,0.557704712900348,0.141290594354202,729,0,"Gluc_BMI"
-0.168521325470274,0.0825538931000266,-0.0429837161851238,729,0,"Gluc_BP"
0.272163716569753,0.368797751263017,0.320480733916385,2187,0.3,"Gluc_Chol"
-0.474176285248646,0.399771725255684,-0.0372022799964811,2187,0,"Gluc_BMI"
-0.134965374855688,0.133887698132123,-0.00053883836178258,2187,0,"Gluc_BP"
0.247547768971724,0.347292056928269,0.297419912949996,3,0.3,"Gluc_Chol"
0.664702821118397,1.74039832660094,1.20255057385967,3,0,"Gluc_BMI"
-0.188590798053028,0.0738795200381005,-0.0573556390074638,3,0,"Gluc_BP"
0.263498896436808,0.35472351575493,0.309111206095869,9,0.3,"Gluc_Chol"
-0.440449266777017,0.318773376053252,-0.0608379453618829,9,0,"Gluc_BMI"
-0.0414576816205556,0.205178216595012,0.0818602674872281,9,0,"Gluc_BP"
0.238691532938432,0.331582357614232,0.285136945276332,27,0.3,"Gluc_Chol"
-0.396462157613012,0.395752045140506,-0.000355056236252971,27,0,"Gluc_BMI"
-0.124520483774447,0.119859450335938,-0.00233051671925447,27,0,"Gluc_BP"
0.228681851782549,0.320288404007253,0.274485127894901,81,0.3,"Gluc_Chol"
-0.63328968293477,0.226452978395374,-0.203418352269698,81,0,"Gluc_BMI"
-0.13920115166649,0.132385637421166,-0.00340775712266202,81,0,"Gluc_BP"
0.224522866667159,0.317412582173084,0.270967724420121,243,0.3,"Gluc_Chol"
-0.573184483638523,0.267927787530033,-0.152628348054245,243,0,"Gluc_BMI"
-0.0946482328633146,0.14474125526469,0.0250465112006875,243,0,"Gluc_BP"
0.256255604381289,0.343984179366691,0.30011989187399,729,0.3,"Gluc_Chol"
-0.332431363333378,0.467521364547653,0.0675450006071376,729,0,"Gluc_BMI"
-0.162745054733,0.0831707036361698,-0.039787175548415,729,0,"Gluc_BP"
0.223559697302218,0.317287327186675,0.270423512244446,2187,0.3,"Gluc_Chol"
0.0684917048194552,0.887558393094376,0.478025048956916,2187,0,"Gluc_BMI"
-0.282114720821279,-0.0348884627631442,-0.158501591792211,2187,0,"Gluc_BP"
0.295483200326468,0.39642862129745,0.345955910811959,3,0.3,"Gluc_Chol"
0.121388516179129,0.936554885397956,0.528971700788542,3,0,"Gluc_BMI"
-0.289737779999723,-0.0285941344312955,-0.159165957215509,3,0,"Gluc_BP"
0.246304131919511,0.340734696460276,0.293519414189894,9,0.3,"Gluc_Chol"
-0.374556208577201,0.458298173121452,0.0418709822721252,9,0,"Gluc_BMI"
-0.158194779058277,0.0954136191030972,-0.0313905799775901,9,0,"Gluc_BP"
0.248122369668545,0.337003379377047,0.292562874522796,27,0.3,"Gluc_Chol"
-0.693509728914915,0.125142565209771,-0.284183581852572,27,0,"Gluc_BMI"
-0.126225194193851,0.127708377139026,0.000741591472587478,27,0,"Gluc_BP"
0.310846588304975,0.406949339576787,0.358897963940881,81,0.3,"Gluc_Chol"
-0.356616870737341,0.485907580361826,0.0646453548122422,81,0,"Gluc_BMI"
-0.180795855921087,0.0722255458900832,-0.0542851550155021,81,0,"Gluc_BP"
0.244880826646644,0.340366440232604,0.292623633439624,243,0.3,"Gluc_Chol"
-0.616550011186556,0.23674497531673,-0.189902517934913,243,0,"Gluc_BMI"
-0.0996975705073384,0.167447531815111,0.0338749806538864,243,0,"Gluc_BP"
0.26043922183159,0.347764421127121,0.304101821479355,729,0.3,"Gluc_Chol"
-0.359301784628642,0.479155525332965,0.0599268703521611,729,0,"Gluc_BMI"
-0.145813181628917,0.101879779719982,-0.021966700954468,729,0,"Gluc_BP"
0.273286170765823,0.364733466597758,0.31900981868179,2187,0.3,"Gluc_Chol"
-0.39205900264961,0.445474252485369,0.0267076249178794,2187,0,"Gluc_BMI"
-0.132940829753946,0.10812498733292,-0.0124079212105134,2187,0,"Gluc_BP"
0.247906190266749,0.342209847891098,0.295058019078923,3,0.3,"Gluc_Chol"
-0.00297831432989371,1.03203663279799,0.514529159234046,3,0,"Gluc_BMI"
-0.436980792147347,-0.145982416940178,-0.291481604543762,3,0,"Gluc_BP"
0.315569754736081,0.409655634102945,0.362612694419513,9,0.3,"Gluc_Chol"
-0.160318719246271,0.646259081132311,0.24297018094302,9,0,"Gluc_BMI"
-0.268220669752017,-0.00866133842458675,-0.138441004088302,9,0,"Gluc_BP"
0.280402410662422,0.3707820791174,0.325592244889911,27,0.3,"Gluc_Chol"
-0.923511361278754,-0.0581124770671109,-0.490811919172933,27,0,"Gluc_BMI"
-0.0551697222562398,0.200444639865621,0.0726374588046907,27,0,"Gluc_BP"
0.252786561299219,0.355123525767597,0.303955043533408,81,0.3,"Gluc_Chol"
-0.327412835808822,0.583471925288226,0.128029544739702,81,0,"Gluc_BMI"
-0.24423628005473,0.0159353946068437,-0.114150442723943,81,0,"Gluc_BP"
0.239219656758934,0.336587363321226,0.28790351004008,243,0.3,"Gluc_Chol"
-0.506990622106868,0.346903002345415,-0.0800438098807264,243,0,"Gluc_BMI"
-0.148076655433993,0.090768148136406,-0.0286542536487937,243,0,"Gluc_BP"
0.233504955158275,0.324428289339802,0.278966622249038,729,0.3,"Gluc_Chol"
-0.465689328458319,0.354197105553343,-0.0557461114524882,729,0,"Gluc_BMI"
-0.0751571898063554,0.174850189396899,0.049846499795272,729,0,"Gluc_BP"
0.282254403128336,0.373329431768191,0.327791917448263,2187,0.3,"Gluc_Chol"
-0.718087743862961,0.210175589892771,-0.253956076985095,2187,0,"Gluc_BMI"
-0.0392152740518883,0.219394974339627,0.0900898501438694,2187,0,"Gluc_BP"
0.250986790540182,0.344384197673903,0.297685494107042,3,0.3,"Gluc_Chol"
-0.526886454773054,0.34296105169539,-0.0919627015388323,3,0,"Gluc_BMI"
-0.0293885242909077,0.214806574262189,0.0927090249856407,3,0,"Gluc_BP"
0.237583787218905,0.326754717642026,0.282169252430466,9,0.3,"Gluc_Chol"
-0.634272754838767,0.173797016376685,-0.230237869231041,9,0,"Gluc_BMI"
-0.0223603435466228,0.210334193146718,0.0939869248000477,9,0,"Gluc_BP"
0.269866975786898,0.359177246486631,0.314522111136764,27,0.3,"Gluc_Chol"
